hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,delete_throughput_eps,query_throughput_eps,fpr,fnr_kept,fpr_deleted,insert_energy_mj,delete_energy_mj,query_energy_mj
xor-shift,cuckoo-cpu,2097152,0,0.1250,262144,28946034.37,48449900.38,52008756.48,0.056667,0.060196,0.000000,0.0000,0.0000,0.0000
xor-shift,cuckoo-cpu,2097152,0,0.2500,524288,35039899.48,45910444.30,46458040.51,0.104248,0.117313,0.000000,0.0000,0.0000,0.0000
murmur3,cuckoo-cpu,2097152,0,0.1250,262144,22197656.39,26744731.99,28954976.99,0.000038,0.000015,0.000000,0.0000,0.0000,0.0000
murmur3,cuckoo-cpu,2097152,0,0.2500,524288,19226107.09,23758091.33,24234161.25,0.000076,0.000072,0.000000,0.0000,0.0000,0.0000
jenkins,cuckoo-cpu,2097152,0,0.1250,262144,20427458.34,25890668.26,26855279.77,0.000008,0.000000,0.000000,0.0000,0.0000,0.0000
jenkins,cuckoo-cpu,2097152,0,0.2500,524288,17349213.75,22285867.36,22540495.36,0.000008,0.000008,0.000000,0.0000,0.0000,0.0000
----------------------------------------
PIM-Config: Debug Flags = 0x0
PIM-Config: Simulator Config File: <NONE>
PIM-Config: Memory Config File: <DEFAULT>
PIM-Config: Memory Protocol: DDR
PIM-Config: Current Device = PIM_DEVICE_BANK_LEVEL, Simulation Target = PIM_DEVICE_BANK_LEVEL
PIM-Config: #ranks = 4, #banksPerRank = 128, #subarraysPerBank = 32, #rowsPerSubarray = 1024, #colsPerSubarray = 8192
PIM-Config: Number of Threads = 40
PIM-Config: Load Balanced = 1
----------------------------------------
PIM-Info: Aggregate all subarrays within a bank as a single core
PIM-Info: Created performance energy model for bank-level PIM
PIM-Info: Created PIM device with 512 cores of 32768 rows and 8192 columns.
PIM-Info: Created thread pool with 39 threads.
xor-shift,cuckoo-pim-v2,2097152,0,0.1250,262144,1717985686.95,858992843.47,1717985686.95,0.056667,0.060196,0.000000,0.3809,0.3809,0.1904
xor-shift,cuckoo-pim-v2,2097152,0,0.2500,524288,3435993892.01,1717985686.95,3435971373.90,0.104248,0.117313,0.000000,0.3809,0.3809,0.1904
murmur3,cuckoo-pim-v2,2097152,0,0.1250,262144,1717985686.95,858992843.47,1717985686.95,0.000038,0.000015,0.000000,0.3809,0.3809,0.1904
murmur3,cuckoo-pim-v2,2097152,0,0.2500,524288,3435971373.90,1717996946.00,3435971373.90,0.000076,0.000072,0.000000,0.3809,0.3809,0.1904
jenkins,cuckoo-pim-v2,2097152,0,0.1250,262144,1717985686.95,858992843.47,1717985686.95,0.000008,0.000000,0.000000,0.3809,0.3809,0.1904
jenkins,cuckoo-pim-v2,2097152,0,0.2500,524288,3435971373.90,1717985686.95,3436016410.42,0.000008,0.000008,0.000000,0.3809,0.3809,0.1904
xor-shift,cuckoo-pim-v3,2097152,0,0.1250,262144,642785508.49,363947353.81,461769897.16,0.056667,0.060196,0.000000,1.8759,1.7569,1.5665
xor-shift,cuckoo-pim-v4,2097152,0,0.1250,262144,1639742539.20,819871269.60,819871269.60,0.056667,0.060196,0.000000,1.2570,1.2570,1.2570
xor-shift,cuckoo-pim-v3,2097152,0,0.2500,524288,790893429.84,461896010.67,533632980.76,0.104248,0.117313,0.000000,3.3700,3.1320,2.9416
xor-shift,cuckoo-pim-v4,2097152,0,0.2500,524288,1640537825.85,820268912.93,820268912.93,0.104248,0.117313,0.000000,2.5131,2.5131,2.5131
jenkins,cuckoo-pim-v3,2097152,0,0.1250,262144,424199076.34,229833541.12,265330083.64,0.000008,0.000000,0.000000,3.5259,3.4068,3.2164
jenkins,cuckoo-pim-v4,2097152,0,0.1250,262144,708460916.87,354230458.44,354230458.44,0.000008,0.000000,0.000000,2.9070,2.9070,2.9070
jenkins,cuckoo-pim-v3,2097152,0,0.2500,524288,484015044.23,265371447.55,287582387.69,0.000008,0.000008,0.000000,6.6699,6.4318,6.2414
jenkins,cuckoo-pim-v4,2097152,0,0.2500,524288,708609334.18,354304667.09,354304667.09,0.000008,0.000008,0.000000,5.8129,5.8129,5.8129
